Row_ID,Product,License,Sales,Quantity,Discount,Profit,is_Refunded
1550.0,Alchemy,NNMKHMEN2K,"559,992",1,"0,2","174,9975",false
2274.0,Alchemy,QYYM9KJDZX,"1119,984",2,"0,2","377,9946",false
8154.0,Alchemy,LKBTOXAMTV,"13999,96",4,0,"6719,9808",false
3692.0,Alchemy,7JOJVR6A05,"439,992",1,"0,2","164,997",false
4287.0,Alchemy,E5X1N9RBRL,"439,992",1,"0,2","164,997",false
3750.0,Alchemy,DRDVV22UW6,"879,984",2,"0,2","329,994",false
3825.0,Alchemy,FV385O5AIZ,"879,984",2,"0,2","329,994",false
6201.0,Alchemy,DXUR83AFDE,"1439,968",4,"0,2","485,9892",false
4201.0,Alchemy,XV3V6BWNFF,"799,984",2,"0,2","249,995",false
336.0,Alchemy,QP5XJAPN8N,"959,984",2,"0,2","335,9944",false
8821.0,Alchemy,XMDO3Y3DT5,"959,984",2,"0,2","311,9948",false
5569.0,Alchemy,C3DK92X62V,"959,984",2,"0,2","335,9944",false
8553.0,Alchemy,GTFKNL4GJH,"719,976",3,"0,2","134,9955",false
6650.0,Alchemy,IXSDZSXS5O,"319,984",2,"0,2","107,9946",false
8540.0,Alchemy,KYLKMHDJ2V,"479,984",2,"0,2","59,998",false
7037.0,Alchemy,8JPDYU5ZAM,"479,984",2,"0,2","89,997",false
2900.0,Alchemy,2KIA1N4KZI,"479,984",2,"0,2","59,998",false
4573.0,Alchemy,9TJGNZVDPD,"479,984",2,"0,2","89,997",false
8571.0,Alchemy,W5180LX7U9,"479,984",2,"0,2","89,997",false
2387.0,Alchemy,TZIXINN5WI,"479,984",2,"0,2","59,998",false
7461.0,Alchemy,IEZJ0K7Q0F,"639,968",4,"0,2","215,9892",false
2898.0,Alchemy,25M57LOO9M,"959,968",4,"0,2","119,996",false
2624.0,Alchemy,KPFKTCVVDH,"11199,968",4,"0,2","3919,9888",false
4640.0,Alchemy,JNKW9884CR,"1599,92",8,0,"751,9624",false
8991.0,Alchemy,X022Y8MM74,"4899,93",7,0,"2302,9671",false
5069.0,Alchemy,BF4N358SO4,"549,99",1,0,"274,995",false
5851.0,Alchemy,P2T1B9QJFP,"549,99",1,0,"274,995",false
5773.0,Alchemy,GRX24QN0OQ,"599,99",1,0,"233,9961",false
7698.0,Alchemy,7UMTWAKWFS,"1199,98",2,0,"467,9922",false
7174.0,Alchemy,NDHFQ9LZHP,"2399,96",5,"0,2","569,9905",false
6902.0,Alchemy,OD04Z7T7XM,"2399,96",5,"0,2","839,986",false
7521.0,Alchemy,0P04LPGOWN,"1399,98",2,0,"629,991",false
3984.0,Alchemy,XSGUCT4HJY,"2799,96",5,"0,2","944,9865",false
9930.0,Alchemy,Q89OX8MVC3,"2799,96",5,"0,2","944,9865",false
3056.0,Alchemy,U5F97UCER2,"2799,96",5,"0,2","874,9875",false
8494.0,Alchemy,QUKVHFTZO1,"479,976",3,"0,2","161,9919",false
9840.0,Alchemy,CGJSEH4UY4,"479,976",3,"0,2","161,9919",false
7667.0,Alchemy,2SGM1W6IZA,"5399,91",9,0,"2591,9568",false
9618.0,Alchemy,KBG627T3JF,"899,982",3,"0,4","74,9985",false
516.0,Alchemy,WUQIOIL1BR,"2999,95",5,0,"1379,977",false
5563.0,Alchemy,BR62OHN2RT,"2999,95",5,0,"1439,976",false
6426.0,Alchemy,C76HNU0077,"8399,976",4,"0,4","1119,9968",false
8800.0,Alchemy,IA5VBJ5D6J,"1799,97",5,"0,4","239,996",true
