Customer,Customer_ID,Country,Latitude,Longitude
BMW,1039,Chile,"-35,6751","-71,543"
BMW,1039,Chile,"-35,6751","-71,543"
BMW,1039,Chile,"-35,6751","-71,543"
BMW,1039,Chile,"-35,6751","-71,543"
BMW,1039,Chile,"-35,6751","-71,543"
BMW,1039,Chile,"-35,6751","-71,543"
BMW,1039,China,"35,8617","104,1954"
BMW,1039,China,"35,8617","104,1954"
BMW,1039,China,"35,8617","104,1954"
BMW,1039,Egypt,"26,8206","30,8025"
BMW,1039,Italy,"41,8719",1378762
BMW,1039,Italy,"41,8719",1378762
BMW,1039,Japan,"36,2048","138,2529"
BMW,1039,Japan,"36,2048","138,2529"
BMW,1039,Japan,"36,2048","138,2529"
BMW,1039,Japan,"36,2048","138,2529"
BMW,1039,Japan,"36,2048","138,2529"
BMW,1039,Japan,"36,2048","138,2529"
BMW,1039,Japan,"36,2048","138,2529"
BMW,1039,Spain,"40,4637","-3,7492"
BMW,1039,Spain,"40,4637","-3,7492"
BMW,1039,Spain,"40,4637","-3,7492"
BMW,1039,Spain,"40,4637","-3,7492"
BMW,1039,Spain,"40,4637","-3,7492"
BMW,1039,Spain,"40,4637","-3,7492"
BMW,1039,Spain,"40,4637","-3,7492"
BMW,1039,Spain,"40,4637","-3,7492"
BMW,1039,Spain,"40,4637","-3,7492"
BMW,1039,Spain,"40,4637","-3,7492"
BMW,1039,Brazil,"-14,235","-51,9253"
BMW,1039,Brazil,"-14,235","-51,9253"
BMW,1039,Brazil,"-14,235","-51,9253"
BMW,1039,Brazil,"-14,235","-51,9253"
BMW,1039,Brazil,"-14,235","-51,9253"
BMW,1039,Canada,"56,1304","-106,3468"
BMW,1039,Canada,"56,1304","-106,3468"
BMW,1039,Canada,"56,1304","-106,3468"
BMW,1039,Canada,"56,1304","-106,3468"
BMW,1039,France,"46,6034",2550491
BMW,1039,France,"46,6034",2550491
BMW,1039,France,"46,6034",2550491
BMW,1039,France,"46,6034",2550491
BMW,1039,France,"46,6034",2550491
BMW,1039,France,"46,6034",2550491
BMW,1039,France,"46,6034",2550491
BMW,1039,France,"46,6034",2550491
BMW,1039,France,"46,6034",2550491
BMW,1039,France,"46,6034",2550491
BMW,1039,France,"46,6034",2550491
BMW,1039,France,"46,6034",2550491
BMW,1039,France,"46,6034",2550491
BMW,1039,Mexico,"23,6345","-102,5528"
BMW,1039,Poland,"51,9194","19,1451"
BMW,1039,Poland,"51,9194","19,1451"
BMW,1039,Poland,"51,9194","19,1451"
BMW,1039,Poland,"51,9194","19,1451"
BMW,1039,Sweden,"60,1282","18,6435"
BMW,1039,Sweden,"60,1282","18,6435"
